Nom,Type,Latitude,Longitude,Superficie_m2
,,3958881.0508788303,788850.848795753,1581.3323422993412
,,3960117.1108067515,791524.6790073897,40363.64229782534
,,3962570.628886817,789640.5346815703,12104.920485941459
,park,3964760.3027645466,785942.9344298214,70006.20581517939
,,3958357.422288159,784183.973453119,786.709663538737
,park,3961487.265797675,790304.3347854712,24574.503334896817
,,3959864.8892676635,785145.6007819083,9273.123647293136
,park,3960160.5017717965,787021.6293859184,20183.99267605232
,,3963659.3393640504,792370.4186269174,177671.47157812177
,,3963617.4658438326,792718.4722819749,89951.60360080986
,,3963177.436471685,789971.8334157908,20919.27536520629
,,3963068.7580318567,790361.5108891402,28472.371717810813
,,3962816.285310592,790755.1091194513,33252.085459645394
,park,3963061.0230936045,789166.4516661201,2945.6962407217593
,,3962192.2784096906,788663.3526014517,851.0884531447301
,park,3964738.8028253918,792625.8959341269,50199.08581905884
,pitch,3964511.8772482243,787495.7905936701,777.1005725828045
,,3959447.389901708,791198.3551241279,136431.26630772155
,,3959385.7241872014,790714.893623636,62625.359656340464
,,3961018.8347985325,790686.4926440257,42348.2840389029
,park,3961053.495234716,790939.4201824339,10416.66879734159
,,3963201.0637785476,790556.368870797,1448.2049958849575
,,3963241.2393332156,790514.0585108795,327.79598926103785
,pitch,3963988.38969577,788260.2992294563,655.7120744194403
,park,3963929.9647498517,788328.6044608726,1951.6607280614696
,park,3958420.323137368,781953.5310587734,6797.948643819044
,pitch,3963864.3154890714,794768.832055168,5444.227167233481
,pitch,3964130.139657558,793818.8646144514,5490.924544194842
,pitch,3964393.278617526,791786.4609775536,1367.2900397753392
,pitch,3964431.5357245547,791842.6582523278,826.4522213855496
,pitch,3964455.884336016,791880.9435967578,802.4226469978851
,pitch,3964480.466295964,791922.7012020233,520.0518677780103
,pitch,3964489.3728527077,791937.581698357,368.7896012248559
,pitch,3964497.759222199,791949.0287172039,321.6702048318116
,,3964314.626988047,791727.3385001476,230.1473270850572
,,3964294.6381925433,791692.548631454,102.6758949499098
,,3964270.6415729304,791660.8813215173,69.76425402644999
,,3964256.0124565354,791642.1479771029,174.06562751638833
,,3964226.345457595,791589.6266001012,1209.8803716949828
,,3964168.9393493123,791526.1031723939,591.5071289649992
,,3964126.6932618245,791449.7700694067,1635.6919399884243
,,3964126.2021659673,791401.8441857483,481.47170506858197
,,3964101.2730228147,791361.3048566189,259.80724576276987
,,3964062.7863021186,791358.1617898284,1152.1517053861637
,,3964073.9955260144,791316.7604622252,106.19305864092797
,,3964053.2229048554,791283.0716035854,481.3130747851953
,,3964019.02674326,791291.7002256268,285.9586143885796
,,3964016.045597252,791227.1407462367,508.53518035880825
,,3963994.5036576185,791254.8905782476,446.38481162746183
,,3963945.3555796663,791197.6065641823,1226.8383436091774
,,3963953.2547452743,791159.1861942097,260.36452789035195
,,3963907.502741023,791106.7664677537,870.6377766616515
,,3963875.653715396,791124.1412115734,944.0931901230482
,,3963831.020831474,791051.2563331525,1554.0307228604477
,,3963850.760444777,791018.0162290151,265.3192989521249
,,3963831.0066116895,790987.139174748,287.03301171009167
,,3963797.3598282957,790992.7247851496,458.45011404063325
,pitch,3961529.2288311874,790112.5401214521,1410.9284323487032
,pitch,3961801.2185676154,789724.7837519785,695.4196409269119
,pitch,3961760.0878965943,789733.3109186538,923.1366691916722
,pitch,3961772.5664336644,789712.9091929356,579.2590578160386
,pitch,3961688.404091561,789663.4734880254,902.7488793209558
